behavior_id	relation	target	revision	result
ai-environment-api-key-resolution	pi_source	references/pi/packages/ai/src/env-api-keys.ts	2b00dade7cec918aefb025c8b7a4fa304a30acdd	source
ai-environment-api-key-resolution	rust_implementation	planned://rust/ai-environment-api-key-resolution		red
ai-environment-api-key-resolution	differential_case	planned://differential-case/ai-environment-api-key-resolution		red
ai-environment-api-key-resolution	unit_test	planned://unit-test/ai-environment-api-key-resolution		red
ai-environment-api-key-resolution	human_journey	planned://human-journey/ai-environment-api-key-resolution		red
ai-environment-api-key-resolution	persistence_check	planned://persistence-check/ai-environment-api-key-resolution		red
ai-environment-api-key-resolution	review	planned://review/ai-environment-api-key-resolution		red
ai-environment-api-key-resolution	run_evidence	planned://run-evidence/ai-environment-api-key-resolution		red
agent-prompt-template-argument-parsing	pi_source	references/pi/packages/agent/src/harness/prompt-templates.ts	2b00dade7cec918aefb025c8b7a4fa304a30acdd	source
agent-prompt-template-argument-parsing	rust_implementation	planned://rust/agent-prompt-template-argument-parsing		red
agent-prompt-template-argument-parsing	differential_case	planned://differential-case/agent-prompt-template-argument-parsing		red
agent-prompt-template-argument-parsing	unit_test	planned://unit-test/agent-prompt-template-argument-parsing		red
agent-prompt-template-argument-parsing	human_journey	planned://human-journey/agent-prompt-template-argument-parsing		red
agent-prompt-template-argument-parsing	persistence_check	planned://persistence-check/agent-prompt-template-argument-parsing		red
agent-prompt-template-argument-parsing	review	planned://review/agent-prompt-template-argument-parsing		red
agent-prompt-template-argument-parsing	run_evidence	planned://run-evidence/agent-prompt-template-argument-parsing		red
tui-ansi-text-wrapping	pi_source	references/pi/packages/tui/src/utils.ts	2b00dade7cec918aefb025c8b7a4fa304a30acdd	source
tui-ansi-text-wrapping	rust_implementation	planned://rust/tui-ansi-text-wrapping		red
tui-ansi-text-wrapping	differential_case	planned://differential-case/tui-ansi-text-wrapping		red
tui-ansi-text-wrapping	unit_test	planned://unit-test/tui-ansi-text-wrapping		red
tui-ansi-text-wrapping	human_journey	planned://human-journey/tui-ansi-text-wrapping		red
tui-ansi-text-wrapping	persistence_check	planned://persistence-check/tui-ansi-text-wrapping		red
tui-ansi-text-wrapping	review	planned://review/tui-ansi-text-wrapping		red
tui-ansi-text-wrapping	run_evidence	planned://run-evidence/tui-ansi-text-wrapping		red
coding-agent-interactive-user-update-ignored	pi_source	references/pi/packages/coding-agent/src/modes/interactive/interactive-mode.ts	2b00dade7cec918aefb025c8b7a4fa304a30acdd	source
coding-agent-interactive-user-update-ignored	rust_implementation	crates/zedflow-coding-agent/src/modes/interactive/interactive-mode.rs	e91b44be9c897aef63c84c34b4e14b387a8141a7	present
coding-agent-interactive-user-update-ignored	differential_case	tools/differential-harness/confirmed_divergences.py		red
coding-agent-interactive-user-update-ignored	unit_test	planned://unit-test/coding-agent-interactive-user-update-ignored		red
coding-agent-interactive-user-update-ignored	human_journey	planned://human-journey/coding-agent-interactive-user-update-ignored		red
coding-agent-interactive-user-update-ignored	persistence_check	planned://persistence-check/coding-agent-interactive-user-update-ignored		red
coding-agent-interactive-user-update-ignored	review	planned://review/coding-agent-interactive-user-update-ignored		red
coding-agent-interactive-user-update-ignored	run_evidence	tools/differential-harness/confirmed_divergences.py		red
